Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
P4HA2	8974	5	5q31.1	41	NP_001017974;NP_001136070;NP_001136071;NP_001352606;NP_001352607;NP_001352608;NP_001352609;NP_001352610;NP_004190;O15460;A8MXE0;C9JCP0;C9JX45;E7ENX0;E7ERI1;C9JFJ1;C9JIG4;C9JN43;E7EPI9;ENSP00000353772;ENSP00000368398;ENSP00000384999;ENSP00000368379;ENSP00000166534;ENSP00000368394;ENSP00000396495;ENSP00000389523;ENSP00000391257;ENSP00000405406;ENSP00000378593;ENSP00000413542;ENSP00000403883;ENSP00000394953;ENSP00000395956
P4HA3	283208	11	11q13.4	6	XP_047282758;XP_054224454;NP_001275677;NP_878907;Q7Z4N8;E9PM97;H0YCC3;ENSP00000433860;ENSP00000431350;ENSP00000431227;ENSP00000332170;ENSP00000401749
P4HB	5034	17	17q25.3	63	NP_000909;P07237;A0A7P0T8C0;A0A7P0T8J3;A0A7P0T8X1;A0A7P0T9D6;A0A7P0T9K9;A0A7P0T9S9;A0A7P0T9U6;A0A7P0TA35;A0A7P0TA71;A0A7P0TA97;A0A7P0TAX9;A0A7P0TB26;A0A7P0TBP8;A0A7P0Z476;A0A7P0Z4J0;A0A7P0Z4S2;B3KTQ9;H0Y3Z3;H7BZ94;I3L0S0;I3L3P5;I3L3U6;I3L4M2;I3L514;I3NI03;A0A7P0T940;A0A7P0T9E3;A0A7P0TBA3;A0A7P0Z4B2;A0A7P0Z4F8;I3L1Y5;ENSP00000505575;ENSP00000505707;ENSP00000459211;ENSP00000506306;ENSP00000505635;ENSP00000505272;ENSP00000458300;ENSP00000505872;ENSP00000505659;ENSP00000505953;ENSP00000505096;ENSP00000327801;ENSP00000505149;ENSP00000505754;ENSP00000505993;ENSP00000460612;ENSP00000505382;ENSP00000461718;ENSP00000506284;ENSP00000506218;ENSP00000388117;ENSP00000506718;ENSP00000506544;ENSP00000505377;ENSP00000388374;ENSP00000506612;ENSP00000505466;ENSP00000506375;ENSP00000506014;ENSP00000505971;ENSP00000504869;ENSP00000505545;ENSP00000506555;ENSP00000504864;ENSP00000461362;ENSP00000505727;ENSP00000506451;ENSP00000460088;ENSP00000460285;ENSP00000461791;ENSP00000460741
P4HTM	54681	3	3p21.31|3p21.3	26	XP_047304323;XP_047304324;XP_054202924;XP_054202925;NP_808807;NP_808808;Q9NXG6;A0A0C4DGS7;H7C153;V9GY20;V9GYK5;ENSP00000341422;ENSP00000373235;ENSP00000477191;ENSP00000398554;ENSP00000476303;ENSP00000476858
PA2G4	5036	12	12q13.2	59	NP_006182;Q9UQ80;F8VR77;F8VZ69;F8W0A3;ENSP00000448557;ENSP00000302886;ENSP00000447615;ENSP00000447389
PAAF1	80227	11	11q13.4	30	XP_047283595;XP_054226019;NP_001254732;NP_001254733;NP_001254734;NP_001254735;NP_001350485;NP_079431;Q9BRP4;F5H0C4;F5H0F7;F5H103;F5H3E9;F5H3I1;F5H5D4;H0YGB1;ENSP00000441333;ENSP00000439747;ENSP00000438894;ENSP00000438789;ENSP00000439143;ENSP00000438124;ENSP00000311665;ENSP00000441494;ENSP00000439877;ENSP00000365564;ENSP00000443473;ENSP00000438071;ENSP00000442434
PABIR1	116224	9	9q21.11	47	NP_612206;Q96E09;ENSP00000377807
PABIR2	159090	X	Xq26.3	42	XP_011529584;XP_011529585;XP_011529586;XP_011529587;XP_011529588;XP_011529590;XP_011529592;XP_011529594;XP_047297829;XP_047297830;XP_047297831;XP_047297832;XP_054182537;XP_054182538;XP_054182539;XP_054182540;XP_054182541;XP_054182542;XP_054182543;XP_054182544;XP_054182545;XP_054182546;XP_054182547;XP_054182548;NP_001160071;NP_001160072;NP_001164227;NP_001164228;NP_001318017;NP_001318018;NP_001318019;NP_001318020;NP_001318021;NP_001318022;NP_001318023;NP_001374397;NP_001374398;NP_660327;Q7Z309;G1UD79;ENSP00000359826;ENSP00000339207;ENSP00000298090;ENSP00000419592;ENSP00000487221;ENSP00000479150
PABIR3	159091	X	Xq26.3	6	XP_005262439;XP_005262440;XP_005262441;XP_005262443;XP_011529597;XP_011529598;XP_011529601;XP_011529603;XP_011529604;XP_016884797;XP_024308111;XP_047297833;XP_047297834;XP_047297835;XP_047297836;XP_047297837;XP_054182549;XP_054182550;XP_054182551;XP_054182552;XP_054182553;XP_054182554;XP_054182555;XP_054182556;XP_054182557;XP_054182558;XP_054182559;XP_054182560;XP_054182561;XP_054182562;XP_054182563;XP_054182564;XP_054182565;XP_054182566;NP_001164250;NP_001164251;NP_001164252;NP_001164253;NP_001164254;NP_001164255;NP_001352672;NP_001352673;NP_001352674;NP_001352675;NP_001352676;NP_001352677;NP_001375369;NP_001375370;NP_001375371;NP_001375372;NP_001375373;NP_001375374;NP_001375375;NP_001375376;NP_001375377;NP_001375378;NP_620174;Q6P4D5;A0A087WU98;A0A2R8Y466;A0A2R8Y4Q6;A0A2R8Y5U9;A0A2R8Y6Q5;A0A2R8Y7I3;A0A2R8Y7S4;A0A2R8YFJ9;A0A2R8YFQ2;A0A2R8YGQ0;B3KQY3;ENSP00000493993;ENSP00000494367;ENSP00000402477;ENSP00000496521;ENSP00000493672;ENSP00000485120;ENSP00000496039;ENSP00000359820;ENSP00000359821;ENSP00000495775;ENSP00000495200;ENSP00000496338;ENSP00000495698;ENSP00000496258;ENSP00000495335;ENSP00000495073
PABPC1	26986	8	8q22.3	60	XP_005250918;XP_047277650;XP_054216266;XP_054216267;NP_002559;P11940;A0A087WTT1;A0A7I2V4N4;A0A7I2YQ88;A0A7I2YQE4;E7EQV3;E7ERJ7;H0YAR2;A0A7I2V3J9;A0A7I2V649;A0A7I2YQ90;E5RFD8;E5RGC4;E5RGH3;E5RH24;E5RHG7;E5RJB9;E5RJM8;H0YAP2;H0YAS6;H0YAS7;H0YAW6;H0YB75;H0YB86;H0YBN4;H0YC10;ENSP00000430716;ENSP00000503838;ENSP00000503686;ENSP00000503044;ENSP00000504835;ENSP00000503455;ENSP00000430012;ENSP00000503421;ENSP00000504369;ENSP00000429119;ENSP00000428749;ENSP00000429790;ENSP00000428021;ENSP00000313007;ENSP00000503058;ENSP00000427914;ENSP00000429594;ENSP00000429395;ENSP00000428948;ENSP00000428030;ENSP00000428840;ENSP00000429892;ENSP00000478108;ENSP00000428190;ENSP00000427805;ENSP00000430159;ENSP00000428937;ENSP00000429032
PABPC4	8761	1	1p34.3	53	NP_001129125;NP_001129126;NP_003810;Q13310;A0A7I2V4L7;A0A7I2V598;A0A7I2V5W9;B1ANR0;H0Y5F5;H0YEU6;A0A7I2V4V6;A0A7I2V5F4;B1ANR1;H0Y6X6;H0YCC8;H0YEQ8;H0YER0;ENSP00000504742;ENSP00000504204;ENSP00000436566;ENSP00000408559;ENSP00000504584;ENSP00000361953;ENSP00000361948;ENSP00000361947;ENSP00000361949;ENSP00000436391;ENSP00000504391;ENSP00000504105;ENSP00000436407;ENSP00000398267;ENSP00000431383;ENSP00000406675;ENSP00000436698
PABPN1	8106	14	14q11.2	36	NP_001347480;NP_001347481;NP_004634;Q86U42;B4DEH8;G3V4T2;H0YJH9;ENSP00000216727;ENSP00000380446;ENSP00000451970;ENSP00000450724;ENSP00000451592
PACC1	55248	1	1q32.3	21	XP_011508020;XP_047280272;XP_047280273;XP_047280274;XP_047280275;XP_047280276;XP_054193408;XP_054193409;XP_054193410;XP_054193411;XP_054193412;XP_054193413;NP_001185791;NP_001364407;NP_001364408;NP_001364409;NP_060722;Q9H813;ENSP00000261455;ENSP00000438863
PACRGL	133015	4	4p15.31	16	XP_011512086;XP_011512088;XP_011512106;XP_011512107;XP_016863236;XP_016863237;XP_016863248;XP_047305573;XP_047305574;XP_047305575;XP_047305576;XP_047305577;XP_047305578;XP_047305579;XP_047305580;XP_047305581;XP_047305582;XP_047305583;XP_047305584;XP_054204921;XP_054204922;XP_054204923;XP_054204924;XP_054204925;XP_054204926;XP_054204927;XP_054204928;XP_054204929;XP_054204930;XP_054204931;XP_054204932;XP_054204933;XP_054204934;XP_054204935;XP_054204936;XP_054204937;XP_054204938;XP_054204939;NP_001124199;NP_001245274;NP_001245275;NP_001304778;NP_001317674;NP_001317675;NP_001317676;NP_001317677;NP_659485;Q8N7B6;D6R9D1;D6R9F1;D6R9N9;D6RA69;D6RAL7;D6RAM4;D6RB63;D6RBZ2;D6RC13;D6RC23;D6RD40;D6RDH3;D6REJ6;D6REQ4;D6RF08;D6RF51;D6RF67;D6RGK2;H0YA87;ENSP00000423914;ENSP00000423499;ENSP00000354171;ENSP00000295290;ENSP00000426643;ENSP00000415832;ENSP00000423105;ENSP00000424391;ENSP00000421570;ENSP00000422962;ENSP00000426833;ENSP00000422394;ENSP00000425102;ENSP00000425461;ENSP00000423881;ENSP00000421703;ENSP00000420948;ENSP00000422425;ENSP00000424898;ENSP00000424950;ENSP00000423536;ENSP00000427064;ENSP00000423523;ENSP00000422142;ENSP00000425938;ENSP00000422499;ENSP00000426286;ENSP00000423477;ENSP00000421687;ENSP00000426399
PACS1	55690	11	11q13.1-q13.2	54	XP_011543464;XP_011543466;XP_054225319;XP_054225320;NP_060496;Q6VY07;B4DF77;E9PNG7;E9PNZ9;E9PPK2;E9PSE1;E9PSG7;H0YCU5;H0YE62;H0YF56;ENSP00000316454;ENSP00000437150;ENSP00000432639;ENSP00000437274;ENSP00000435037;ENSP00000432858;ENSP00000437052;ENSP00000433991;ENSP00000434012;ENSP00000432365
PACS2	23241	14	14q32.33	51	XP_006720153;XP_006720154;XP_006720155;XP_016876594;XP_016876595;XP_016876596;XP_016876597;XP_016876598;XP_016876599;XP_016876600;XP_016876601;XP_047287119;XP_047287120;XP_054231671;XP_054231672;XP_054231673;XP_054231674;XP_054231675;XP_054231676;XP_054231677;XP_054231678;XP_054231679;XP_054231680;XP_054231681;XP_054231682;XP_054231683;NP_001094383;NP_001230056;NP_056012;Q86VP3;A0A8I5KQA5;A0A8I5QJV1;F8VW41;ENSP00000393524;ENSP00000321834;ENSP00000393559;ENSP00000509432;ENSP00000449525;ENSP00000510561
PACSIN1	29993	6	6p21.31	40	XP_011512843;XP_047274645;XP_054211239;XP_054211240;NP_001186512;NP_065855;Q9BY11;F6U236;ENSP00000484060;ENSP00000244458;ENSP00000363155;ENSP00000439639
PACSIN2	11252	22	22q13.2	60	NP_001171899;NP_001171900;NP_001336897;NP_001336898;NP_001336899;NP_001336900;NP_001336901;NP_001336902;NP_001336903;NP_009160;Q9UNF0;A0A0U1RR22;B0QYG7;B0QYG8;B0QYG9;H0Y923;ENSP00000422788;ENSP00000338379;ENSP00000263246;ENSP00000385952;ENSP00000385372;ENSP00000385040;ENSP00000489297;ENSP00000398573;ENSP00000396816;ENSP00000403435;ENSP00000399953
PACSIN3	29763	11	11p11.2	53	XP_047282806;XP_047282807;XP_047282808;XP_047282809;XP_047282810;XP_047282811;XP_047282812;XP_047282813;XP_054224564;XP_054224565;XP_054224566;XP_054224567;XP_054224568;XP_054224569;XP_054224570;XP_054224571;NP_001171903;NP_001171904;NP_057307;Q9UKS6;A0A0C4DGG1;E9PIY1;E9PIZ6;E9PJ33;E9PJ75;E9PNM9;E9PQ12;H0YDM6;ENSP00000298838;ENSP00000440945;ENSP00000431948;ENSP00000433962;ENSP00000437252;ENSP00000431924;ENSP00000434521;ENSP00000434699;ENSP00000435638;ENSP00000435672;ENSP00000431861
PADI2	11240	1	1p36.13	39	XP_016855637;XP_047298931;XP_054188736;XP_054188737;XP_054189980;XP_054189981;NP_031391;Q9Y2J8;ENSP00000364635;ENSP00000364630
PADI4	23569	1	1p36.13	30	XP_011539452;XP_011539453;XP_011539454;XP_011539455;XP_011539456;XP_011539457;XP_011539458;XP_047272566;XP_054187638;XP_054187639;XP_054187640;XP_054187641;XP_054187642;XP_054187643;XP_054187644;XP_054187645;XP_054191687;XP_054191688;XP_054191689;XP_054191690;XP_054191691;XP_054191692;XP_054191693;NP_036519;Q9UM07;B1AQ67;ENSP00000364602;ENSP00000364597
PAF1	54623	19	19q13.2	49	XP_054177250;XP_054177251;NP_001243755;NP_061961;Q8N7H5;M0QYC7;B4DGJ5;ENSP00000221265;ENSP00000468874;ENSP00000469742;ENSP00000396412
PAFAH1B1	5048	17	17p13.3	52	XP_011522203;XP_011522204;XP_011522205;XP_016880190;XP_016880192;XP_047292118;XP_047292119;XP_047292120;XP_047302781;XP_054172273;XP_054172274;XP_054172275;XP_054172276;XP_054172277;XP_054172278;XP_054172279;NP_000421;P43034;A0A6Q8PFU3;A0A6Q8PFT2;A0A6Q8PG63;A0A6Q8PGF8;A0A6Q8PH33;I3L384;I3L3N5;I3L495;ENSP00000461087;ENSP00000380378;ENSP00000502117;ENSP00000501931;ENSP00000502737;ENSP00000502843;ENSP00000502242;ENSP00000502507;ENSP00000501976;ENSP00000502735;ENSP00000460258;ENSP00000502031;ENSP00000502577;ENSP00000501969;ENSP00000460591
PAFAH1B2	5049	11	11q23.3	51	XP_016873329;XP_047282998;XP_047282999;XP_047283000;XP_047283001;XP_054224979;XP_054224980;XP_054224981;XP_054224982;NP_001171675;NP_001171676;NP_001171677;NP_001296360;NP_002563;P68402;J3KNE3;ENSP00000388742;ENSP00000435289;ENSP00000304006;ENSP00000434951;ENSP00000431365
PAFAH1B3	5050	19	19q13.2	47	XP_016882335;XP_016882336;XP_016882337;XP_054177104;XP_054177105;XP_054177106;NP_001139411;NP_001139412;NP_002564;Q15102;M0QXS6;M0QZT2;M0R1K3;M0R323;M0R389;ENSP00000444935;ENSP00000262890;ENSP00000471933;ENSP00000473065;ENSP00000470753;ENSP00000472950;ENSP00000469352
PAFAH2	5051	1	1p36.11	32	XP_006710733;XP_011539830;XP_047277654;XP_047277656;XP_047277657;XP_054192803;XP_054192804;XP_054192805;XP_054192806;XP_054192807;NP_000428;Q99487;Q5SY00;Q5SY01;ENSP00000363400;ENSP00000363402;ENSP00000408313;ENSP00000411011
PAG1	55824	8	8q21.13	47	XP_016869131;XP_016869132;XP_047277936;XP_047277937;XP_047277938;XP_047277939;XP_047277940;XP_047277941;XP_047277942;XP_047277943;XP_047277944;XP_047277945;XP_047277946;XP_047277947;XP_047277948;XP_047277949;XP_047277950;XP_054216809;XP_054216810;XP_054216811;XP_054216812;XP_054216813;XP_054216814;XP_054216815;XP_054216816;XP_054216817;NP_060910;Q9NWQ8;ENSP00000220597
PAGE2	203569	X	Xp11.21	26	XP_016884842;NP_997222;Q7Z2X7;X6R922;X6RD31;ENSP00000364107;ENSP00000364104;ENSP00000392976
PAGE5	90737	X	Xp11.21	14	NP_001013453;NP_569734;Q96GU1;Q5JUL1;ENSP00000364093;ENSP00000289619;ENSP00000364090
PAGR1	79447	16	16p11.2	43	NP_078792;Q9BTK6;ENSP00000326519
PAICS	10606	4	4q12	59	XP_047305483;XP_047305484;XP_047305485;XP_047305486;XP_054204749;XP_054204750;XP_054204751;XP_054204752;NP_001072992;NP_001072993;NP_001378939;NP_001378940;NP_001378941;NP_006443;P22234;D6RF62;E9PBS1;ENSP00000424907;ENSP00000264221;ENSP00000424053;ENSP00000382595;ENSP00000421096
PAIP1	10605	5	5p12	47	NP_006442;NP_877590;NP_899152;Q9H074;A0A1D5RMS4;D6R9H8;D6RD97;D6REB4;D6RJ02;D6RJF2;H0YA44;ENSP00000302768;ENSP00000387729;ENSP00000426089;ENSP00000339622;ENSP00000425084;ENSP00000422084;ENSP00000425675;ENSP00000425736;ENSP00000427410;ENSP00000425406
PAIP2	51247	5	5q31.2	37	XP_011541730;XP_016865011;XP_016865012;XP_047273221;XP_047273222;XP_054208697;XP_054208698;XP_054208699;XP_054208700;NP_001028284;NP_057564;Q9BPZ3;D6R9Y1;D6RA77;ENSP00000423084;ENSP00000265192;ENSP00000422821;ENSP00000378275;ENSP00000422508
PAIP2B	400961	2	2p13.3	19	XP_005264367;XP_005264368;XP_011531144;XP_054198000;XP_054198001;XP_054198002;NP_065192;Q9ULR5;ENSP00000244221
PAK1	5058	11	11q13.5-q14.1	60	XP_024304325;XP_024304326;XP_024304327;XP_024304328;XP_047283002;XP_047283003;XP_047283004;XP_047283005;XP_047283006;XP_047283007;XP_047283008;XP_047283009;XP_047283010;XP_054224984;XP_054224985;XP_054224986;XP_054224987;XP_054224988;XP_054224989;XP_054224990;XP_054224991;XP_054224992;XP_054224993;XP_054224994;XP_054224995;XP_054224996;NP_001122092;NP_001363197;NP_001363198;NP_001363199;NP_001363200;NP_001363201;NP_001363202;NP_001363203;NP_001363204;NP_001363205;NP_001363206;NP_001363207;NP_001363208;NP_001363209;NP_001363210;NP_001363211;NP_001363212;NP_001363213;NP_001363214;NP_001363215;NP_001363216;NP_001363217;NP_001363218;NP_001363219;NP_001363220;NP_001363221;NP_001363222;NP_001363223;NP_001363224;NP_001363230;NP_001363231;NP_001363232;NP_001363233;NP_001363234;NP_002567;Q13153;B3KNX7;E9PKH9;E9PM17;E9PJF8;E9PMP2;E9PQW5;E9PRP6;H0YCG5;H0YCM0;H0YF55;ENSP00000433423;ENSP00000348696;ENSP00000278568;ENSP00000433211;ENSP00000431906;ENSP00000431541;ENSP00000437261;ENSP00000433518;ENSP00000432477;ENSP00000433004;ENSP00000435983;ENSP00000433737
PAK1IP1	55003	6	6p24.2	30	XP_005249261;XP_011513023;XP_054188144;XP_054188145;XP_054211733;XP_054211734;NP_060376;Q9NWT1;ENSP00000368887
PAK2	5062	3	3q29	62	XP_011511172;XP_047304174;XP_047304175;XP_054202644;XP_054202645;XP_054202646;NP_002568;Q13177;H7C1X3;ENSP00000314067;ENSP00000402927
PAK3	5063	X	Xq23	15	XP_005262189;XP_005262190;XP_006724717;XP_006724718;XP_011529264;XP_011529270;XP_011529271;XP_011529273;XP_016885046;XP_016885047;XP_016885048;XP_016885049;XP_016885052;XP_047298102;XP_047298103;XP_047298104;XP_047298105;XP_047298106;XP_054183121;XP_054183122;XP_054183123;XP_054183124;XP_054183125;XP_054183126;XP_054183127;XP_054183128;XP_054183129;XP_054183130;XP_054183131;XP_054183132;XP_054183133;XP_054183134;XP_054183135;XP_054183136;XP_054183137;NP_001121638;NP_001121639;NP_001121640;NP_001121644;NP_001121645;NP_001311254;NP_001311255;NP_001311256;NP_001311257;NP_001311258;NP_001311259;NP_001311260;NP_001311261;NP_001311262;NP_001311263;NP_002569;O75914;B1AKS5;ENSP00000401982;ENSP00000410853;ENSP00000361077;ENSP00000361080;ENSP00000429113;ENSP00000428921;ENSP00000405642;ENSP00000262836;ENSP00000353864;ENSP00000389172
PAK4	10298	19	19q13.2	56	XP_011524618;XP_011524619;XP_011524622;XP_024307082;XP_047293990;XP_047293991;XP_047293992;XP_047293993;XP_047293994;XP_047293996;XP_047293997;XP_054175478;XP_054175479;XP_054175480;XP_054175481;XP_054175482;XP_054175483;XP_054175484;XP_054175485;XP_054175486;XP_054175487;XP_054175488;NP_001014831;NP_001014832;NP_001014834;NP_001014835;NP_001381430;NP_005875;O96013;M0R0L9;M0R1R1;M0R2X4;M0R3G6;ENSP00000471318;ENSP00000470284;ENSP00000353625;ENSP00000326864;ENSP00000472862;ENSP00000351049;ENSP00000469413;ENSP00000471157;ENSP00000473215;ENSP00000472061
PAK6	56924	15	15q15.1	23	NP_001263646;NP_001263647;NP_001382359;NP_001382360;NP_064553;Q9NQU5;H0YK38;H0YK74;H0YK91;H0YKB6;H0YL02;H0YL16;H0YL47;H0YLZ9;H0YM99;H0YMS4;ENSP00000401153;ENSP00000406873;ENSP00000456785;ENSP00000453520;ENSP00000453407;ENSP00000453858;ENSP00000409465;ENSP00000260404;ENSP00000452737;ENSP00000452647;ENSP00000453005;ENSP00000453721;ENSP00000452708;ENSP00000453057;ENSP00000452686;ENSP00000453021;ENSP00000439597
PALB2	79728	16	16p12.2	21	NP_001394225;NP_001394226;NP_001394227;NP_001394228;NP_001394229;NP_001394230;NP_001394231;NP_001394233;NP_001394234;NP_001394235;NP_001394236;NP_001394237;NP_001394238;NP_001394239;NP_001394240;NP_001394241;NP_001394242;NP_001394243;NP_078951;Q86YC2;H3BN63;A0A8V8TKZ4;A0A8V8TLC8;A0A8V8TMC9;A0A8V8TMK8;I3L1Z5;I3L2S5;ENSP00000459237;ENSP00000261584;ENSP00000454703;ENSP00000513284;ENSP00000513285;ENSP00000513286;ENSP00000460666;ENSP00000513287;ENSP00000513288;ENSP00000513289;ENSP00000459882
PALD1	27143	10	10q22.1	43	XP_011537939;XP_011537940;XP_016871561;XP_047281011;XP_047281012;XP_047281013;XP_047281014;XP_047281015;XP_047281016;XP_054221520;XP_054221521;XP_054221522;XP_054221523;XP_054221524;XP_054221525;NP_055246;Q9ULE6;A0A8V8TL18;A0A8V8TL27;A0A8V8TL39;A0A8V8TL47;A0A8V8TLG1;A0A8V8TMP9;ENSP00000263563;ENSP00000513330;ENSP00000513341;ENSP00000513342;ENSP00000513343;ENSP00000513344;ENSP00000513331
PALLD	23022	4	4q32.3	58	XP_011530070;XP_011530071;XP_011530073;XP_011530074;XP_011530075;XP_011530076;XP_011530077;XP_024309707;XP_024309708;XP_047305817;XP_047305818;XP_047305819;XP_047305820;XP_047305821;XP_047305822;XP_047305823;XP_047305824;XP_047305825;XP_047305826;XP_054205314;XP_054205315;XP_054205316;XP_054205317;XP_054205318;XP_054205319;XP_054205320;XP_054205321;XP_054205322;XP_054205323;XP_054205324;XP_054205325;XP_054205326;XP_054205327;XP_054205328;XP_054205329;XP_054205330;XP_054205331;XP_054205332;NP_001159580;NP_001159581;NP_001159582;NP_001354496;NP_001354497;NP_001354498;NP_001354499;NP_057165;Q8WX93;A0A3B3ISX8;A0A994J7A4;D6R948;D6R9F5;D6R9Z5;D6RBB1;D6RBH5;F8WA26;H0Y952;H0YA05;ENSP00000425556;ENSP00000261509;ENSP00000423640;ENSP00000423063;ENSP00000424121;ENSP00000426947;ENSP00000422016;ENSP00000424288;ENSP00000497440;ENSP00000422135;ENSP00000377327;ENSP00000424016;ENSP00000516055;ENSP00000425729
PALM	5064	19	19p13.3	50	XP_005259622;XP_005259623;XP_016882339;XP_054177109;XP_054177110;XP_054177111;NP_001035224;NP_002570;O75781;A0A087WTK8;A0A087WWY4;A0A087X1D6;ENSP00000341911;ENSP00000264560;ENSP00000484090;ENSP00000477952;ENSP00000480594
PALM2AKAP2	445815	9	9q31.3	40	XP_047279366;XP_047279367;XP_047279368;XP_047279369;XP_047279370;XP_047279371;XP_047279372;XP_047279373;XP_047279374;XP_047279375;XP_047279376;XP_047279377;NP_001004065;NP_001032370;NP_001130034;NP_001185585;NP_009134;NP_443749;NP_671492;Q9Y2D5;Q8IXS6;B1ALY0;A0A669KBK1;C9JA33;C9JVY5;C9JZH4;F8WF36;ENSP00000501308;ENSP00000363656;ENSP00000323805;ENSP00000363654;ENSP00000417525;ENSP00000397839;ENSP00000305861;ENSP00000419747;ENSP00000404782;ENSP00000363649;ENSP00000419364;ENSP00000419268;ENSP00000259318
PALM3	342979	19	19p13.12	43	XP_047294719;XP_047294720;XP_054176828;XP_054176829;XP_054188664;XP_054188665;NP_001138500;NP_001354256;A6NDB9;A0A590UJ23;A0A590UJ36;K7EKN5;ENSP00000499248;ENSP00000465701;ENSP00000344996;ENSP00000499271
PALMD	54873	1	1p21.2	43	NP_060204;Q9NP74;S4R313;ENSP00000263174;ENSP00000473839
PALS1	64398	14	14q23.3	41	XP_005268060;XP_011535388;XP_011535389;XP_024305459;XP_024305460;XP_047287646;XP_047287647;XP_047287648;XP_047287649;XP_047287651;XP_047287652;XP_054232568;XP_054232569;XP_054232570;XP_054232571;XP_054232572;XP_054232573;XP_054232574;XP_054232575;XP_054232576;XP_054232577;XP_054232578;NP_001243479;NP_071919;Q8N3R9;G3V2B0;G3V2H1;ENSP00000503322;ENSP00000503713;ENSP00000450550;ENSP00000451488;ENSP00000261681;ENSP00000450656;ENSP00000503321;ENSP00000451571;ENSP00000503517
PALS2	51678	7	7p15.3	38	XP_005249832;XP_006715801;XP_006715802;XP_006715803;XP_011513727;XP_016867804;XP_016867805;XP_054214368;XP_054214369;XP_054214370;XP_054214371;XP_054214372;XP_054214373;XP_054214374;NP_001289966;NP_057531;Q9NZW5;B8ZZG1;C9J4Q3;C9JGI8;F8WCD2;R4GNA8;ENSP00000395859;ENSP00000386262;ENSP00000222644;ENSP00000379737;ENSP00000391020;ENSP00000400515;ENSP00000487215;ENSP00000473560
PAM	5066	5	5q21.1	41	XP_011541721;XP_016864984;XP_016864985;XP_016864986;XP_016864991;XP_016864994;XP_016864996;XP_016865000;XP_024301834;XP_024301837;XP_024301838;XP_024301840;XP_024301842;XP_024301843;XP_024301844;XP_024301846;XP_024301848;XP_024301849;XP_024301852;XP_024301853;XP_047273196;XP_047273197;XP_047273198;XP_047273199;XP_047273200;XP_047273201;XP_047273202;XP_047273203;XP_047273204;XP_047273205;XP_047273206;XP_047273207;XP_047273208;XP_047273209;XP_047273210;XP_047273211;XP_047273212;XP_054208643;XP_054208644;XP_054208645;XP_054208646;XP_054208647;XP_054208648;XP_054208649;XP_054208650;XP_054208651;XP_054208652;XP_054208653;XP_054208654;XP_054208655;XP_054208656;XP_054208657;XP_054208658;XP_054208659;XP_054208660;XP_054208661;XP_054208662;XP_054208663;XP_054208664;XP_054208665;XP_054208666;XP_054208667;XP_054208668;XP_054208669;XP_054208670;XP_054208671;XP_054208672;XP_054208673;XP_054208674;XP_054208675;XP_054208676;XP_054208677;XP_054208678;XP_054208679;NP_000910;NP_001170777;NP_001306872;NP_001351511;NP_001351512;NP_001351513;NP_001351514;NP_001351515;NP_001351516;NP_001351517;NP_001351518;NP_001351519;NP_001351520;NP_001351521;NP_001351522;NP_001351523;NP_620121;NP_620176;NP_620177;P19021;A0A804HI59;A0A804HIQ0;A0A804HKM7;A0A804HKV8;A0A8C8KD64;H7BYD9;A0A804HJJ2;A0A804HK31;A0A804HLE0;A0A804HLJ2;D6R961;D6RAQ2;D6RCD5;D6RDU2;D6RF09;D6RG20;F8W8D9;H0Y9I4;ENSP00000421569;ENSP00000508091;ENSP00000306100;ENSP00000403461;ENSP00000507038;ENSP00000396493;ENSP00000507752;ENSP00000507990;ENSP00000507172;ENSP00000507375;ENSP00000314638;ENSP00000420851;ENSP00000506915;ENSP00000506966;ENSP00000426448;ENSP00000421823;ENSP00000423611;ENSP00000423763;ENSP00000508378;ENSP00000302544;ENSP00000282992;ENSP00000369125;ENSP00000507524;ENSP00000424203;ENSP00000508313
PAMR1	25891	11	11p13	18	NP_001001991;NP_001269604;NP_001269605;NP_056245;Q6UXH9;A0A087WXE9;E9PMN5;E9PQ70;ENSP00000482899;ENSP00000483703;ENSP00000479260;ENSP00000480961;ENSP00000432591;ENSP00000433024
PAN2	9924	12	12q13.3	36	NP_001120932;NP_001159751;NP_001381628;NP_001381629;NP_001381630;NP_001381631;NP_001381632;NP_001381633;NP_001381634;NP_001381635;NP_001381636;NP_001381637;NP_055686;Q504Q3;F8VXK8;ENSP00000481859;ENSP00000388231;ENSP00000257931;ENSP00000401721;ENSP00000449861;ENSP00000449092
PAN3	255967	13	13q12.2	42	XP_005266389;XP_005266390;XP_011533334;XP_011533335;XP_011533336;XP_016876017;XP_016876019;XP_047286205;XP_047286206;XP_047286207;XP_047286208;XP_047286209;XP_054230376;XP_054230377;XP_054230378;XP_054230379;XP_054230380;XP_054230381;XP_054230382;XP_054230383;XP_054230384;XP_054230385;XP_054230386;NP_787050;Q58A45;A0A0C4DFZ9;ENSP00000370345;ENSP00000382522
PANK1	53354	10	10q23.31	19	XP_016871822;XP_016871823;XP_016871825;XP_047281310;XP_054222068;XP_054222069;XP_054222070;XP_054222071;NP_612189;NP_683878;NP_683879;Q8TE04;A0A8C8KBT8;ENSP00000318526;ENSP00000345118;ENSP00000302108
